auction_id,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
1,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0749933100476686,0.0749933100476686,0,2.22044604925031e-16,0.962111491019338,0.139515147490612,0.0749933100476686,0,0,0.1
2,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0769991650625554,0.0769991650625554,0,2.22044604925031e-16,0.997375230859443,-0.124016215216972,0.0769991650625554,0,0,0.1
3,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0766651180405085,0.0766651180405085,0,2.22044604925031e-16,0.98422535341425,0.0894236833603902,0.0766651180405085,0,0,0.1
4,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0752424906545639,0.0752424906545639,0,2.22044604925031e-16,0.974138824238844,0.141138552103656,0.0752424906545639,0,0,0.1
5,L,0.0837,10,0.560677050330648,0.0216423263814932,2,0.0751359716271477,0.0751359716271477,0,2.22044604925031e-16,0.972729815016555,-0.0327831726314721,0.0751359716271477,0,0,0.1
6,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0926072792669234,0.0926072792669234,0,0.688476650953744,0.987999802025233,-0.138880836639802,0.0926072792669234,0,0,0.1
7,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.084783045893493,0.084783045893493,0,0.391918467914451,0.977473333970128,0.0168422987195537,0.084783045893493,0,0,0.1
8,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0763906394575408,0.0763906394575408,0,2.22044604925031e-16,0.989325950528833,0.136405384428446,0.0763906394575408,0,0,0.1
9,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0825104703989029,0.0825104703989029,0,0.175997094450671,1.01510244265458,-0.120813474874904,0.0825104703989029,0,0,0.1
10,H,0.0995,10,0.560677050330648,0.0216423268408614,3,0.0910585819531323,0.0910585819531323,0,0.648778904834911,0.971228049578975,0.144730284734144,0.0910585819531323,0,0,0.1
11,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0817653686639693,0.0817653686639693,0,0.19162028869382,1.00034885048987,-0.0334120175811579,0.0817653686639693,0,0,0.1
12,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0875195156004914,0.0875195156004914,0,0.421180321084672,0.995765352732133,-0.0149364917792319,0.0875195156004914,0,0,0.1
