auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s
1,L,0.0837,5,0.754021451503681,0.746734128808777,0.76073155643142,0.76073155643142,1
2,L,0.0837,5,0.751401607852366,0.743456186556028,0.754833770527355,0.754833770527355,1
3,H,0.0995,5,0.755312044868826,0.748805865359704,0.770694724225374,0.770694724225374,1
4,L,0.0837,5,0.755759630204689,0.752321113687524,0.768056720011174,0.768056720011174,1
5,L,0.0837,5,0.82037573191376,0.812397086956333,0.824647587149607,0.824647587149607,1
6,L,0.0837,5,0.774967705783386,0.7685018912914,0.783209777316908,0.783209777316908,1
7,L,0.0837,5,0.963882360954113,0.970620217402209,0.986085007738272,0.986085007738272,1
8,L,0.0837,5,0.754437404261689,0.747569799893533,0.761983180274184,0.761983180274184,1
9,L,0.0837,5,0.753523698005674,0.745896740551304,0.759396414675939,0.759396414675939,1
10,L,0.0837,5,0.824178764698805,0.820124682558559,0.83574542248252,0.83574542248252,1
11,L,0.0837,5,0.742194931771674,0.740103254119665,0.7422741620103,0.7422741620103,1
12,L,0.0837,5,0.753341879199058,0.746236103650984,0.755122341466421,0.755122341466421,1
13,L,0.0837,5,0.754581396728012,0.747897348733732,0.762454721580705,0.762454721580705,1
14,H,0.0995,5,0.755984706875776,0.754840099496572,0.777401620381801,0.777401620381801,1
15,L,0.0837,5,0.754248290223958,0.74717148793538,0.761395754278299,0.761395754278299,1
16,L,0.0837,5,0.753395360349293,0.745703219440793,0.759074555909047,0.759074555909047,1
17,L,0.0837,5,0.75340035826122,0.74571060541536,0.759086939795542,0.759086939795542,1
18,L,0.0837,5,0.753861385787321,0.746448199405764,0.760285561312046,0.760285561312046,1
19,H,0.0995,5,0.751366529276687,0.740177761980639,0.758121105234001,0.758121105234001,1
20,L,0.0837,5,0.755646581659622,0.748292254784166,0.762207223601014,0.762207223601014,1
21,L,0.0837,5,0.750847856407891,0.743007114191307,0.753830946718159,0.753830946718159,1
22,H,0.0995,5,0.898241949311521,0.892592334576974,0.914683831333351,0.914683831333351,1
23,H,0.0995,5,0.755388192391341,0.747475228337499,0.76889291035382,0.76889291035382,1
24,L,0.0837,5,0.752370786143374,0.744400263281611,0.756747025543946,0.756747025543946,1
25,H,0.0995,5,0.788610124523547,0.780915034233003,0.802419881254855,0.802419881254855,1
26,L,0.0837,5,0.940903748895921,0.945653495338681,0.95665728843577,0.95665728843577,1
27,L,0.0837,5,0.840849867887069,0.838237335638911,0.854084381352431,0.854084381352431,1
28,H,0.0995,5,0.754656055356098,0.746327232290011,0.767560101637526,0.767560101637526,1
29,L,0.0837,5,0.755595142480526,0.751318407259147,0.766889525858634,0.766889525858634,1
30,L,0.0837,5,1.03321895375223,1.03131892566839,1.04723048866735,1.04723048866735,1
31,L,0.0837,5,0.752936341856986,0.745071527593387,0.757983845569335,0.757983845569335,1
32,L,0.0837,5,0.754178966321593,0.747033487051291,0.761188429491845,0.761188429491845,1
33,H,0.0995,5,0.805240381788915,0.804767574638108,0.827341860133958,0.827341860133958,1
34,L,0.0837,5,0.753323859793057,0.745598838950626,0.758898674862644,0.758898674862644,1
35,H,0.0995,5,0.768381550601655,0.760242204355955,0.781562488704365,0.781562488704365,1
36,L,0.0837,5,0.755982957751368,0.757026517585912,0.773019559478647,0.773019559478647,1
37,L,0.0837,5,0.754432879722278,0.747559867681244,0.761968723522483,0.761968723522483,1
38,H,0.0995,5,0.752818775586659,0.74223166268012,0.761627252248665,0.761627252248665,1
39,H,0.0995,5,0.886764915073422,0.887202629537989,0.909777362594197,0.909777362594197,1
40,H,0.0995,5,0.808760045799962,0.79801938757595,0.817164729891907,0.817164729891907,1
41,L,0.0837,5,0.827640352955553,0.826062720055,0.838536829708743,0.838536829708743,1
42,L,0.0837,5,1.04117111787134,1.04224943239976,1.0582083464388,1.0582083464388,1
43,H,0.0995,5,0.753595306870657,0.743668301623935,0.763840422479924,0.763840422479924,1
44,H,0.0995,5,0.754087481189353,0.744770436665565,0.765434731842813,0.765434731842813,1
45,H,0.0995,5,0.793609068329859,0.807900746962262,0.831852737227795,0.831852737227795,1
46,H,0.0995,5,0.78194262865145,0.773862835832424,0.795209456525069,0.795209456525069,1
47,H,0.0995,5,0.752684804593681,0.742012415412442,0.761274033987471,0.761274033987471,1
48,L,0.0837,5,0.755048306325067,0.749153171911599,0.764177454355628,0.764177454355628,1
49,L,0.0837,5,0.750414875008864,0.742693028921107,0.753083880048933,0.753083880048933,1
50,L,0.0837,5,0.755758221565219,0.752311055091605,0.768045252775785,0.768045252775785,1
51,L,0.0837,5,0.754116296482372,0.746912103376751,0.761004375978084,0.761004375978084,1
52,L,0.0837,5,0.795180675404505,0.787652001005083,0.797488864953753,0.797488864953753,1
53,L,0.0837,5,0.741467580681426,0.740058195194946,0.741501751995334,0.741501751995334,1
54,L,0.0837,5,0.75369454635595,0.746167600067619,0.75983812254253,0.75983812254253,1
55,H,0.0995,5,0.753268306097599,0.743025269208709,0.762870389290115,0.762870389290115,1
56,H,0.0995,5,0.991924621387363,0.99563939553775,1.01808433440484,1.01808433440484,1
57,H,0.0995,5,0.808513073267992,0.798093893523291,0.817724332038834,0.817724332038834,1
58,L,0.0837,5,0.753968562657311,0.746637720745553,0.760582259521825,0.760582259521825,1
59,L,0.0837,5,0.853059038508031,0.855752637254327,0.871630946047103,0.871630946047103,1
60,L,0.0837,5,0.752577172809264,0.74463323551841,0.757186384446635,0.757186384446635,1
61,H,0.0995,5,0.813709220110143,0.803052567394129,0.822339787401879,0.822339787401879,1
62,L,0.0837,5,0.75562141223043,0.760537611155779,0.776894638199478,0.776894638199478,1
63,H,0.0995,5,0.864424441317661,0.866207853902243,0.888751983486726,0.888751983486726,1
64,H,0.0995,5,0.798765202230517,0.796310800667178,0.818812491312888,0.818812491312888,1
65,L,0.0837,5,0.745438959672085,0.740582362296101,0.745997298087148,0.745997298087148,1
66,H,0.0995,5,0.743292355524613,0.734831510034495,0.744700679518292,0.744700679518292,1
67,H,0.0995,5,0.837243751659333,0.839939582896713,0.862444300442101,0.862444300442101,1
68,H,0.0995,5,0.792238045609328,0.784553939894345,0.806063021893758,0.806063021893758,1
69,H,0.0995,5,1.09651100146362,1.09716241475117,1.11973465926384,1.11973465926384,1
70,L,0.0837,5,0.753333653265818,0.745612995938289,0.758922625323068,0.758922625323068,1
71,L,0.0837,5,0.755781137161718,0.759519865962812,0.775715787599626,0.775715787599626,1
72,H,0.0995,5,0.888517905526429,0.883640619221023,0.905874804453827,0.905874804453827,1
73,L,0.0837,5,0.755736939678812,0.752162989390508,0.767875905188281,0.767875905188281,1
74,L,0.0837,5,0.767581246858586,0.76034016293056,0.774391286101435,0.774391286101435,1
75,L,0.0837,5,0.820595508729398,0.815000394358489,0.830157923872856,0.830157923872856,1
76,L,0.0837,5,0.752112829934126,0.744126289869293,0.756215095922381,0.756215095922381,1
77,L,0.0837,5,0.751448539926903,0.743496957156365,0.75492147320223,0.75492147320223,1
78,H,0.0995,5,0.75263914048511,0.741939321241992,0.761155275708269,0.761155275708269,1
79,L,0.0837,5,0.86123505646831,0.872016741360357,0.879955238808545,0.879955238808545,1
80,L,0.0837,5,0.740059263282299,0.740024043335043,0.740059282736304,0.740059282736304,1
81,L,0.0837,5,0.92214326752477,0.916571288043498,0.931738333982664,0.931738333982664,1
82,L,0.0837,5,0.753528171005765,0.745903634059073,0.759407781183799,0.759407781183799,1
83,H,0.0995,5,0.828894406554027,0.819747885200707,0.840526714458952,0.840526714458952,1
84,L,0.0837,5,0.755190286180614,0.749616392294052,0.764782654593627,0.764782654593627,1
85,H,0.0995,5,0.753866668191494,0.744253297993033,0.764696780171228,0.764696780171228,1
86,L,0.0837,5,0.751968814711721,0.743980999009403,0.755925789840086,0.755925789840086,1
87,L,0.0837,5,0.755320542570514,0.75009007334072,0.765386592030196,0.765386592030196,1
88,L,0.0837,5,0.755978417104239,0.757152790366594,0.773150382909225,0.773150382909225,1
89,L,0.0837,5,0.750081118290805,0.742470497422879,0.752527591832646,0.752527591832646,1
90,H,0.0995,5,0.752662037002313,0.741975869973338,0.761214720956909,0.761214720956909,1
91,L,0.0837,5,0.751509008138914,0.743550156141068,0.755035140398943,0.755035140398943,1
92,H,0.0995,5,0.859316985162278,0.861191604235981,0.88373243523837,0.88373243523837,1
93,L,0.0837,5,0.74599619046934,0.740719773289548,0.746691939877849,0.746691939877849,1
94,L,0.0837,5,0.752637627455851,0.74470397106672,0.757317574641532,0.757317574641532,1
95,L,0.0837,5,0.747964554579103,0.741374987865987,0.749315518564052,0.749315518564052,1
96,H,0.0995,5,0.94884875895627,0.953180172305596,0.975581536771927,0.975581536771927,1
97,L,0.0837,5,0.75086002965156,0.743016389737661,0.753852395508182,0.753852395508182,1
98,H,0.0995,5,0.752822281626524,0.742237499304241,0.761636594912665,0.761636594912665,1
