auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s,n_level
1,H,0.0995,3,0.1376067262614,0.139731264946877,0.142970342681414,0.142970342681414,0.15,3
2,L,0.0837,3,0.16702656390075,0.166377719876311,0.168711656416373,0.168711656416373,0.15,3
3,L,0.0837,3,0.152192923785407,0.152543320628246,0.154928496255206,0.154928496255206,0.15,3
4,L,0.0837,3,0.11787798908166,0.116729370183245,0.118745610882146,0.118745610882146,0.15,3
5,L,0.0837,3,0.120636801942318,0.119918929594867,0.120717429852972,0.120717429852972,0.15,3
6,L,0.0837,3,0.11308503345101,0.111977399618204,0.114058829399971,0.114058829399971,0.15,3
7,H,0.0995,3,0.138407218789731,0.138019513361519,0.141393451366462,0.141393451366462,0.15,3
8,H,0.0995,3,0.122534648722605,0.123082856602545,0.126450190250846,0.126450190250846,0.15,3
9,H,0.0995,3,0.112916907040643,0.111324964770733,0.114228393857851,0.114228393857851,0.15,3
10,L,0.0837,3,0.112449846937514,0.111332244253164,0.112778487522999,0.112778487522999,0.15,3
11,L,0.0837,3,0.136189998349912,0.136120262743115,0.138516136354442,0.138516136354442,0.15,3
12,L,0.0837,3,0.139668798564894,0.139204795886785,0.141572924775807,0.141572924775807,0.15,3
13,H,0.0995,3,0.112539516789477,0.11084636817845,0.113372407014402,0.113372407014402,0.15,3
14,L,0.0837,3,0.12384850017148,0.122973055003077,0.125230845543372,0.125230845543372,0.15,3
15,L,0.0837,3,0.128122666366997,0.128204368542104,0.130600091230967,0.130600091230967,0.15,3
16,L,0.0837,3,0.113352915110493,0.112775269258405,0.115124580698248,0.115124580698248,0.15,3
17,H,0.0995,3,0.1131952638955,0.111939391297443,0.115121177239417,0.115121177239417,0.15,3
18,H,0.0995,3,0.113225445873024,0.112036852726435,0.115248820645934,0.115248820645934,0.15,3
19,L,0.0837,3,0.121015585070416,0.120178735936888,0.122453361510685,0.122453361510685,0.15,3
20,L,0.0837,3,0.123363176102979,0.122954063075728,0.125329175882288,0.125329175882288,0.15,3
21,H,0.0995,3,0.116298182894679,0.114943415811331,0.118071132760506,0.118071132760506,0.15,3
22,L,0.0837,3,0.146417715301294,0.145231267538152,0.147141345908115,0.147141345908115,0.15,3
23,H,0.0995,3,0.126168727919388,0.125506770767499,0.128852474194588,0.128852474194588,0.15,3
24,L,0.0837,3,0.113353369552517,0.112778064707081,0.115127830588944,0.115127830588944,0.15,3
25,L,0.0837,3,0.113004815023696,0.111848886066475,0.11385009742119,0.11385009742119,0.15,3
26,L,0.0837,3,0.115576597424923,0.11467702338549,0.116923181528937,0.116923181528937,0.15,3
27,L,0.0837,3,0.115307100389489,0.114894856902674,0.117269604267233,0.117269604267233,0.15,3
28,L,0.0837,3,0.113038927225088,0.111900671200649,0.113935994756649,0.113935994756649,0.15,3
29,L,0.0837,3,0.127520662383263,0.127255182066393,0.129643277307893,0.129643277307893,0.15,3
30,L,0.0837,3,0.112925995829595,0.111742430201713,0.11366482236256,0.11366482236256,0.15,3
31,H,0.0995,3,0.129323776837887,0.127832473952966,0.130856166585851,0.130856166585851,0.15,3
